category,description
Rejected,"Earlier issued 22 visa recommendations, now again applied for 37 visa applications. (total 59). So, a total of 1180 local manpower is mandatory as per the BIDA guidelines. Your manpower is only 699. Please search and hire a local employee for this position."
Rejected,"Please hire a local employee, the application has been rejected"
Rejected,please submit the audit report with the DVC number
Rejected,"please submit updated office permission and audit report, Up to date Bank Statement, All dues Settlement certificate of auditor"
Rejected,the company may hire a local person for HR activities
Rejected,The document submitted regarding the explanation of why the salaries of the locals were not increased is not convincing. hence the application is rejected.
Rejected,"The company shall submit the following documents:\
1. its updated income tax clearance certificate/ receipt of acknowledgment certificate of tax return submission.;\
2. expatriates updated income tax clearance certificate/ receipt of acknowledgment certificate of tax return submission.\
"
Rejected, Please upload the previous work permit cancellation letter and related document 
Rejected,"Please follow the previous shortfall -(Please uplaod the academic certificate as per the job advertisement)\
\
Note: Please follow the above observation and resubmit the application properly. The application processing is a fully automatic and online process. If you are confused about the observations or the next course of action, you may call over the phone OR mail for clarifications. Physical visits are generally discouraged to maintain neutrality and transparency of decisions."
Rejected,11 (eleven) years will excced on 01-Jun-2023. Last time the work permit was approved for the last time on the condition that further extension of the work permit will not be allowed. You have to replace the expatriate with the local HR by this period. Authority approved. Hance the applciation has been rejected.
Rejected,"work permit was  26.02.2023, The expatriate illegally worked up to 20.4.2023. Uploaded doc 6 and request for the cancellation of the work permit."
Rejected,Please submit security clearance
Rejected,"The explanation is not acceptable. Earlier, you comitted that, you would not further convert the visa (WPN-02Jul2022-00002 )"
Rejected,"1. As because the company did complete the proper recruitment process. Hence the application has been rejected.\
2. Please ensure the departure of the expatriate from Bangladesh."
Rejected,"The inspection officer made following remarks, \
\
""It is recommended to cancel the application and consult them to submit new application with all necessary documents."""
Rejected,BIDA will convene a meeting with NBR and SSD to discuss additional tax payments on expatriates increased salary in work permits from the first date of joining.
Rejected,An Interpreter is not allowed under the E1 visa. Please hire locally. Hence the application is rejected.
Rejected,Please resubmit the application after the departure of the expatriate from Bangladesh
Rejected,"Visa validity already exceeds 25 May 2022. After the previous shortfall, uploaded doc 13 and resubmitted the applciation"
Rejected,"Investment amount does not match with BIDA registration at section 6 of the application;\
Rejected because of does not comply BIDA requirements "
Rejected,please submit specific documents that we have requested 
Rejected,"Please follow the previous shortfall properly.If not clear, kindly discuss over the phone and then resubmit the application"
Rejected,"List of machineries does not match with the BIDA registration;\
Rejected because of not complying BIDA's quarry."
Rejected, 6 years will exceed 30-Sep-2023. Kindly take the necessary action to cancel the work permit and replace the post with local HR. 
Rejected,Please also ensure the up-to-date income tax clearance certificate (with the challan & return copy) under section 91 of the Income Tax ordinance 1984 up to the last departure date.
Rejected,Work permit validity already exceeded 31-Dec-2022.But till the expatriate stay in Bangladesh illegally.Hance the application has been rejected
Rejected,Search for a local ACCOUNTS OFFICER
Rejected,"Despite repeated request corrective measures are not being taken. The applicant submitted a salary sheet of 70 personnel and as per BIDA guidelines 3 foreign workers are allowed and it was requested to revise but that brought no result. The Company has four directors as per RJSC form-XII but it is repeatedly dropping one director from list of directos. Therefore, the application is rejected."
Rejected,"The expatriate worked in the same company earlier, but you did not mention it in the travel history. You did not upload the related part of the passport. These are the tracking number (WPE-26Mar2023-00054, WPN-07Feb2022-00010). Hence the applciation has been rejected."
Rejected,The deadline for the application is 10.10.2022. board resolution issued on 5.9.2022. Its means you hired the expatriate without completing the recruitment process properly. Hence the application has been rejected
Rejected,"1.	We have detected a clean fraud case here. In the authorized person information area one Mr. Md. Rashed Miah (Arzu)  has been shown as the MD of the company but in the original application no such name is found. The letter of authorization shows differently, an unsigned letter of authorization from Imperial chicks limited, unrelated to this company, has been submitted. \
\
2.	No board resolution has been submitted, and claimed that it is not applicable albeit it is required.\
\
3.	The country of origin has been shown as India but the proposed amendment is sought to replace India by Bangladesh. If the source of finance is Bangladesh, then how can this company be a foreign? Moreover, How the Indian investment has been exhausted?\
\
4. All information as per BIDA registration have not been provided, particularly, imported and local machinery. Shortcut is unacceptable.\
\
The applicant is bound to provide all correct and true information and to submit a correct application. This is not the responsibility of the BIDA officials to sort out the shortfalls.\
Considering the above, we are rejecting this application\
"
Rejected,The expatriate provided misinformation ( this work permit information) and received another new visa recommendation (VR-06Jun2023-00027 ). Hence the application has been rejected.
Rejected,The expatriate provided misinformation ( this work permit information) and received another new visa recommendation (VR-06Jun2023-00027 ). Hence the application has been rejected.
Rejected," Sir, We informed the applicant  20 days ago to amend the registration. They did not apply for an amendment earlier.  They just applied today for the amendment and uploaded a request letter for the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected," Sir, We informed the applicant  20 days ago to amend the registration. They did not apply for an amendment earlier.  They just applied today for the amendment and uploaded a request letter for the E visa recommendation. Please see doc 13 and give your kind decision. Basic salary less than the BIDA guideline"
Rejected," Sir, We informed the applicant  20 days ago to amend the registration. They did not apply for an amendment earlier.  They just applied today for the amendment and uploaded a request letter for the E visa recommendation. Please see doc 13 and give your kind decision."
Rejected,The deadline for the application is 02 October 2023. You hired the expatriate before the completion of the recruitment process. Hence the application has been rejected
Rejected,The explanation is not acceptable. Please upload Musak 9.1 for the company's last year.
Rejected,The company is financially incapable. Please apply after becoming financially solvent.
Rejected,The company is financially insolvent. please apply after becoming solvent.
Rejected,The company is financially insolvent. please apply after becoming solvent.
Rejected,Kindly hire a Front Office Manager from local sources
Rejected,"A. You did not respond to the previous shortfall properly. \
B.If you are not clear, Please discuss over the phone and then resubmit the application"
Rejected,Repeat application.
Rejected,"1. Please provide a reference of the law that exempts the company from having to conduct financial audits in the United States\
2. the auditor is satisfied with the company-provided documents against the qualified report\
https://bidaquickserv.org/uploads/2024/01/BIDA_OPE_6593e4606f7918.57557154.pdf"
Rejected,"5 years will exceed 05-Jan-2024. After the previous shortfall, they uploaded doc 13 and resubmit the application"
Rejected,"In the avertisment, you can not mention that only Korean nationality can apply as well as you can not mention that the applicant has to be fluent in any language except Bengali and English.\
Hence the application has been rejected.\
Basic salary less than the BIDA guideline. Did not upload the clear copy of the passport (whole used part)"
Rejected,please explain how the name of the officer can be Philip Morriis
Rejected,Did not upload the resignation letter submitted by the expatriate.
Rejected,"1. Job advertisement published on 1.4.2022. the appointment letter was issued on  6.4.2022, and the board resolution was issued on  20.3.2022. which means without following the proper recruitment process, you hired this foreigner.\
2. Hence the application has been rejected "
Rejected,"1. Job advertisement published on 1.4.2022. the appointment letter was issued on  6.4.2022, and the board resolution was issued on  20.3.2022. which means without following the proper recruitment process, you hired this foreigner.\
2. Hence the application has been rejected \
"
Rejected,Please increase the salary as per the previous work permit
Rejected,"A. Please see the BIDA guideline 2023 at the following link in the BIDA website-  https://bida.gov.bd/storage/app/media/pdf/Guideline2023.pdf                                                                                                                                                                                                                                                                                          \
B. Kindly increase the salary properly as per the BIDA guideline (page 35, -).  and then resubmit the application. \
"
Rejected," Earlier, the expatriate worked in the same company in the same post. Please hire a local employee\
"
Rejected,"Please meet with the Director General with the following documents ( memorundam of the company, form XII, and Schedule X and return which you uploaded )"
Rejected,"Earlier, the expatriate worked in the same company in a hiring post for a higher salary. In the lower post, a lower salary is not acceptable."
Rejected,"Earlier, the expatriate worked in the same company in a hiring post for a higher salary. In the lower post, a lower salary is not acceptable. Please hire a local employee. "
Rejected,Please uplaod the 20 years experience certificate as per the uploaded job advertisement
Rejected,"A. While you resubmitted the application last time, you removed the copy of the passport. With the uploaded documents, Kindly also upload the passport\
B. Kindly correct the desired effective date correctly"
Rejected,"A. While you resubmitted the application last time, you removed the copy of the passport. With the uploaded documents, Kindly also upload the passport\
"
Rejected,Proposed duration is not correct. Duration can not extend by the amendment module.
Rejected,The application is rejected for not increasing the expatriates salary as per the requirement of the security clearance.
Rejected,Already new work permit has been issued (WPN-16Nov2022-00001 ). Kindly apply for a work permit extension. Hence the application has been rejected as discussed. 
Rejected,"Because you hired the expatriate without completing the recruitment process properly, Hence the application has been rejected."
Rejected,"Because you hired the expatriate without completing the recruitment process properly, Hence the application has been rejected"
Rejected,"1. Two IDs in the OSS system is not acceptable. Please take necessary action to marge the IDs & then resubmit the application\
2. Please upload the full part of the bank statement of the salary payment in favour of the investor/employee for the previous working period as proof the company paid the salary through the bank (mark with the salary transaction in the statement). \
3.  Please upload the up-to-date income tax certificate paid in full for the assessment year 2020-21 and 2021-22/ \
4. Please explain the causes of the late application with the supporting document.\
5. Manpower ratio does not cover the BIDA guideline. as per the application 4 foreigners & 60 local employees. Please take the necessary action for the replace the expatriate with a local employee.\
6. If you change the number of the manpower, kindly also upload the salary advice and payroll of the company for the last month"
Rejected,"1. Two IDs in the OSS system is not acceptable. Please take necessary action to marge the IDs & then resubmit the application\
2. Please upload the full part of the bank statement of the salary payment in favour of the investor/employee for the previous working period as proof the company paid the salary through the bank (mark with the salary transaction in the statement). \
3.  Please upload the up-to-date income tax certificate paid in full for the assessment year 2020-21 and 2021-22/ \
4. Please explain the causes of the late application with the supporting document.\
5. Manpower ratio does not cover the BIDA guideline. as per the application 4 foreigners & 60 local employees. Please take the necessary action for the replace the expatriate with a local employee.\
6. If you change the number of the manpower, kindly also upload the salary advice and payroll of the company for the last month"
Rejected,"1. Two IDs in the OSS system is not acceptable. Please take necessary action to marge the IDs & then resubmit the application\
2. Please upload the full part of the bank statement of the salary payment in favour of the investor/employee for the previous working period as proof the company paid the salary through the bank (mark with the salary transaction in the statement). \
3.  Please upload the up-to-date income tax certificate paid in full for the assessment year 2020-21 and 2021-22/ \
4. Please explain the causes of the late application with the supporting document."
Rejected,"1. Two IDs in the OSS system is not acceptable. Please take necessary action to marge the IDs & then resubmit the application\
2. Please upload the full part of the bank statement of the salary payment in favour of the investor/employee for the previous working period as proof the company paid the salary through the bank (mark with the salary transaction in the statement). \
3.  Please upload the up-to-date income tax certificate paid in full for the assessment year 2020-21 and 2021-22/ \
4. Please explain the causes of the late application with the supporting document.\
5. Manpower ratio does not cover the BIDA guideline. as per the application 4 foreigners & 60 local employees. Please take the necessary action for the replace the expatriate with a local employee.\
6. If you change the number of the manpower, kindly also upload the salary advice and payroll of the company for the last month"
Rejected,"As per remittance related guideline 2020 issued by BIDA, BIDA will do the contract endorsement but not giving approval of remittance. Rather applicants will remit the money through their nominated AD bank up to 6% of previous years sales or C&F value. so, the application has been rejected and advise you to apply to BIDA for contract endorsement. As per remittance related guideline 2020 issued by BIDA, BIDA will do the contract endorsement but not giving approval of remittance. Rather applicants will remit the money through their nominated AD bank up to 6% of previous years sales or C&F value. so, the application has been rejected and advise you to apply to BIDA for contract endorsement. As per remittance related guideline 2020 issued by BIDA, BIDA will do the contract endorsement but not giving approval of remittance. Rather applicants will remit the money through their nominated AD bank up to 6% of previous years sales or C&F value. so, the application has been rejected and advise you to apply to BIDA for contract endorsement."
Rejected,This is a buying house. Please apply for the work permit in the Registration and incentives (foreign commercial wing).
Rejected,5 years will exceed on 30-Oct-2023.Hence the application has been rejected
Rejected,As because you did not pay salary through the bank and the duration of the work permit already exceed 5 years. Hence the application has been rejected.
Rejected,"Your explanation revealed that you have not yet opened any L/C for importing machinery. BIDA is always open for amendment of your application but it requires some documents. Your should first Negotiate the price, confirming purchase, obtain commercial invoice, Open L/C then submit application for amendment of your registration. Till then we can not allow any amendment. Hence we are rejecting the application."
Rejected,"The company is in financial loss. Also, CEO is not a technical post. Hence, the company is advised to recruit a local CEO."
Rejected,This Application may discard or archived
Rejected,"Sir, you can reject this application because this project is under Rajshahi divisional office. Rajshahi divisional office may take proper guidance of the project."
Rejected,Similar application was submitted once earlier. So this application can be rejected.
Rejected,"We observed repeated non-compliance of observation. Earlier you submitted a time petition which has been removed from the record. Issue regarding authorized person has not been addressed. You received BIDA registration online but in the application you are saying no. \
Considering the above and repeated non-compliance, the application is rejected."
Rejected,Kindly mention ( House rent Monthly 95000.00 BDT) in the green part of the application. 
Rejected,"Because you hired the expatriate without completing the recruitment process properly, hence the application has been rejected."
Rejected,"Repeat application, Hance the applciation has been rejected "
Rejected,The application has been rejected because the expatriate worked in Bangladesh without work permit according to the experience certificate.
Rejected,please provide a valid reason for recruiting a foreigner as asst manager
Rejected,The Accounts Officer has been working since 2018. The company must replace him with a local worker.
Rejected,The candidates described in document 13 were all found to have fake and unreachable cell numbers. The application is rejected. The company is instructed to explain why all the services from BIDA will not be extended.
Rejected,"After the previous shortfall, they uploaded doc 12 and resubmitted the application. Please see doc 12 and give your kind decision."
Rejected,Did not upload the security clearance under Doboku Sekkei Ltd.Uploaded doc 13 which was signed on 04 October 2023.Please see the doc 9 & 13 and give your kind decision
Rejected,5 years will exceed on 03-Sep-2021 as well as you did not pay salary through the bank. Hence the application has been rejected.
Rejected,From February to June 2021 the Banking activities were not totally closed. As because you were instructed as well as you were committed after the opening bank account; You could pay salary (from February to June 21) through the bank but you did not do it. Hence; the explanation is not acceptable
Rejected,"You did not uplaod the work permit up to 31-Dec-2022. With the uploaded document, Please upload the valid work permit up to 31-Dec-2022"
Rejected,Please hire a CFO locally.
Rejected,"You did not uplaod the work permit up to 31-Dec-2022. With the uploaded document, Please upload the valid work permit up to 31-Dec-2022"
Rejected, 5 years will excced on 11-Aug-2023. Please hire a local employee.Hence the application has been rejected
Rejected,5  years will exceed 11-Aug-2023. Please hire a local employee.Hence the application has been rejected
Rejected,"with your explanation, Please upload the proof of the payment (challan copy)"
Rejected,5 years will exceed 26 Aug 2023. Kindly replace the post with a local employee.Hence the application has been rejected
Rejected,1. Please submit security clearance 2. Please submit Bank statement of the salary payment in favor of the investor/employee of at least 6 months
Rejected,Tax paid up to 9.1.2023. But the visa was extended form Dahaka on 18.5.2023 (passport. Which means the expatriate working in the company.Hance the applciation has been rejected
Rejected,The application (WPE-17Feb2023-00006) has already been approved and is on your desk for payment. Kindly submit the payment  on the previous application
Rejected,"                                    \
,               "
Rejected,"the earlier salary was 5700 USD per month. Now the proposed salary is only 3000, which is not rational."
Rejected,Please hire from local sources
Rejected,Salary has to be more or than the previous work permit
Rejected,Staying in Bangladesh even after 8 months of work permit cancellation is not acceptable
Rejected,"Work permit issued on 9 November 2021. Now apply for salary reduce, which is not acceptable,"
Rejected,"         / \
                                   Reject          "
Rejected,"Sir, We Informed them regarding the new guidelines.  But in the advertisement deadline for the application.\
Regarding the issue, they have uploaded doc 13 and resubmitted the  application"
Rejected,"(1). Please follow the previous shortfall -{A. Please see the BIDA guideline 2023 at the following link- https://bida.gov.bd/storage/app/media/pdf/Guideline2023.pdf B. Kindly fulfil the recruitment process properly as per the BIDA guideline (page 22, -). And then resubmit the application.} properly\
(2)If unclear regarding the previous shortfall  , kindly discuss it over the phone and resubmit the application."
Rejected,"1.Did not upload the proper Bank statement of the salary payment in favor of the investor/employee for the previous working period.\
 2. Five (05) years allready exceed 30.6.2.2021. Please replace the expatriate by a local employee."
Rejected,"Earlier, the expatriate worked in the same company equivalent post ; Please hire a local employee."
Rejected,"The alleged expatriate did not leave the country after the cancellation of the previous work permit. He is staying in Bangladesh illegally without any valid visa. Hence, the IMC rejects the application for the work permit."
Rejected,6 years exceed 17.6.2021. Please see doc 12 and give your kind decision.
Rejected,"As per remittance related guideline 2020 issued by BIDA, BIDA will do the contract endorsement but not giving approval of remittance. Rather applicants will remit the money through their nominated AD bank up to 6% of previous years sales or C&F value. so, the application has been rejected and advise you for apply to BIDA for contract endorsement."
Rejected,"As per remittance related guideline 2020 issued by BIDA, BIDA will do the contract endorsement but not giving approval of remittance. Rather applicant will remit the money through their nominated AD  bank up to  6% of previous years sales or C&F value. \
\
so, the application has been rejected and advice you for apply to BIDA for contract endorsement."
Rejected,"So late application, You may kindly reject the application,\
\
OR You may ask them-\
\
A. Please upload 1: the copy of the passport(whole used part) mark with the latest departure seal; 2. income tax certificate for the employee under section 82BB/91 mentioning with last working date; \
\
\
B. The work permit approved on condition that '' The Company shall have to ensure the departure of the above-mentioned expatriate from Bangladesh on expire of this work permit. The date of departure must be intimated to this Authority within 7(Seven) days after departure. '' desire effective date 20-Dec-2020, Why you violate the above condition? Please explain the cause of the so late application."
Rejected,"A.	Please see the BIDA guideline 2023 at the following link on the BIDA website- https://bida.gov.bd/storage/app/media/pdf/Guideline2023.pdf \
B.	Kindly increase the salary as per the BIDA guideline (page 35, -). And then resubmit the application.\
"
Rejected,the applicant has requested to reject the application
Rejected," Without a valid work permit, working for a long time is not acceptable,  uplaoded explanation is not not acceptable"
Rejected,"The company will be requested to provide an explanation on how this expatriate is working in Bangladesh without a work permit issued by the competent authority and without the NOC of the Health Services Division. Copy of the abovementioned letter will be sent to the Health Services Division,  Bangladesh Bank, Security Services Division, and National Board of Revenue."
Rejected,"A. Please follow the previous shortfall properly; B. Whether the investor invested any amount till today, please clarify the encashment certificate B. Please clarify the relationship between the investors and Macro International with the document Note: Please follow the above observation and resubmit the application properly. The application processing is a fully automatic and online process. If you are confused about the observations or the next course of action, you may call OR mail for clarification. Physical visits are generally discouraged to maintain neutrality and transparency of decisions."
Rejected,"The expatriate has been working since 2018, and the company is not answering to BIDAs query. Hence, the application is rejected."
Rejected,"According to the last security clearance the expatriate was engaged in illegal activity in his last job tenure in Bangladesh. Also, the list of interviewed persons could not be verified. The company has provided a list of existing employees who have been working for a long time in the company. Hence, the application may be rejected."
Rejected,Please discuss with relevant papers as this person has worked before.
Rejected,Please discuss with BIDA along with relevant documents
Rejected,Why the company has submitted a fake educational certificate?
Rejected,9 years will exceed on 04-Jun-2021.
Rejected,6 years will exceed 13 Aug 2023. Also did not follow the FERA Act and its related guidelines. Hence the application has been rejected.
Rejected,6 years already exceed on 17-Jul-2023. Also did not upload the income tax certificate or send the outward remittance through the Bank. Hence the application has been rejected.
Rejected,"Only the Investor is eligible for a PI visa. According to the memorandum of the article and the BIDA registration, the foreigner is not an investor. Hence, the application has been discarded."
Rejected,Salary was not increased substantially following the condition of security clearance
Rejected,Please publish fresh advertisements.
Rejected,Cannot approve cancellation without proof of departure.
Rejected,As per security objection local manpower is available in this post. please hire from local sources
Rejected,Any company is bound by law to make any communication by means of anything where the name and registered address of the company must be printed on. Deviation from this is a serious violation of law and hence the application is rejected.
Rejected,"Because you hired the expatriate without completing the recruitment process properly, Hence the application has been rejected"
Rejected,"please revise the salary as per 'Guidelines for providing permission for establishment of foreign commercial offices, providing visa recommendations to foreign workers and issuing work permits to foreign workers in Bangladesh,2023' https://bida.gov.bd/acts-laws-circulars"
Rejected,1. Bangladesh has sufficient HR professionals. Please hire from local sources. This is not a technical position. The existing guidelines discourage hiring expatriates in general posts.
Rejected,"A. 9 year 6 months exceed on 23-Apr-2022;\
B.the work permit was approved for the last time with the remark ""The extension of the work permit has been approved for the last time on the condition that further extension of the work permit will not be allowed. You have to replace the expatriate with the local HR by this period.\
3. Now again submit a new application with doc 13."
Rejected,9 years exceed on 24-Mar-2021. Please replace this employee.
Rejected,5 years will exceed 12-Apr-2023. Uploaded a request letter for the extension of the work permit extension of the work permit
Rejected,The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. 
Rejected,Nine years will exceed 23-Oct-2022. Apply for six months
Rejected,"Last time, the work permit was approved with the remark-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period.Please hire local employee"
Rejected,Six years will exceed on 01-Apr-2023. Uploaded a request letter for the extension of the work permit. 
Rejected,"9 years will exceed on 15-Jun-2022. Please replace the post with a local employee.\
"
Rejected,The extension of the work permit has been approved for the last time on the condition that further extension of the work permit will not be allowed. You have to replace the expatriate with the local HR by this period.
Rejected,"After the previous shortfall, they have uploaded docs 12 and 13. Please see the docs 12 &13 "
Rejected,6 years already excced. Hence the application has been rejected.
Rejected,"1.Submitted passport shows that the employee arrives in Bangladesh on 05.05.2019 and left the country on 08.05.2019\
2.The company has submitted an explanation in doc 03 regarding the bank statement of salary and zero income tax payment  that the employee did not join the hospital still now after issuing work permit though he has NOC from the Ministry of Health valid up to 27.07.2022 and security clearance also  ; now the case is forwarded for kind decision"
Rejected,"11 years will exceed on 29-Sep-2022, Hence the application has been rejected."
Rejected,"10 years 6 months  already exceed on 24-Mar-2022, Hence the application has been rejected."
Rejected, 6 years will exceed on 01-Apr-2023. Uploaded a request letter for the extension of the work permit.
Rejected,6 years will exceed 03-Aug-2023. Uplaoded a request for a letter for the extension of the work permit
Rejected,9 years will excced on 02-Sep-2023.Please hire a local employee
Rejected,"Regarding the last shortfall, Now they have uploaded doc 12."
Rejected,                  
Rejected,"New factory address is mentioned as '902/1, Gacha, National University, Gazipur', please submit the new factory rent deed for the new address. Please submit the mobile number of managing partner, M.A. Kamal."
Rejected,"Earlier, the expatriate work the same company for  5 years. Kindly hire an Assistant General Manager, Sales from locally "
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. "
Rejected,"The reason for the amendment of the work permit does not match the uploaded passport and is not rational. Please explain the causes of the amendment properly. If need, kindly discuss over the phone and then resubmit the application"
Rejected,The incumbent is staying in Bangladesh illegally.
Rejected,The incumbent is staying in Bangladesh illegally.
Rejected,"The expatriate in Bangladesh, Uploaded doc 13 and requested for issuing the E visa recommendation. "
Rejected,"After the previous shortfall, they uploaded doc 6 and resubmitted the application. Kindly see doc 6 and give the decision"
Rejected,"1. Five years of employment will be  completed on 29.03.2021\
2. The company has submitted an explanation in doc 12 regarding the necessity of the further extension of work permit; now the case is forwarded for kind decision\
"
Rejected,Seven years will exceed 27 May 2023. The previous application was rejected. Now the uploaded doc 12. Maybe you kindly approved the work permit for 1 year for the last time
Rejected,"A. 7 years will exceed 27-May-2023 Kindly take the necessary action to cancel the work permit and replace the post with local HR. \
B. If you don't follow the above advice, please submit the following information and documents: \
 \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly.   \
"
Rejected,7 years will exceed 27 May 2023. Uploaded a request letter for the extension of the work permit. Maybe consider for 1 year
Rejected,Rejected due to duplicate application.
Rejected,Seven years will exceed 08-Apr-2023. Uploaded a request letter for the extension of the work permit. Maybe approve 01 year for the last time.
Rejected,8 years will exceed 08-Apr-2024. Uploaded request letters on docs  13 for the extension of the work permit considering their work order and production.
Rejected,7 years will exceed 08-Apr-2024. Uploaded a request letter for the extension of the work permit. Maybe approved for 1 year for the last time
Rejected,Submit BIDA approved machinery list. Please give details of usage of proposed machinery.
Rejected,The proposal has been rejected because the application for the work permit has been submitted in the name of a different company.
Rejected,The proposal has been rejected because the application for the work permit has been submitted in the name of a different company.
Rejected,  BIDA will scrutinize the salary inconsistency between the local and foreign workers of the company.
Rejected,"1.Did not upload the Certificate of all academic qualification and Experience as per the advertisement;\
2.Deadline of application 20.6.2021, Board resolution prepared on 02.2.2021.\
3. Without complete the recruitment process they hire the expatraite."
Rejected,It has been already done manually because of technical problem in OSS. That is why online application is rejected.
Rejected,"The organization is advised to apply for a work permit extension and:\
1. submit justification with the document for extension of work permit beyond 5 years;\
2 submit replacement plan of the foreign worker with local worker along with supporting document;\
3. submit a plan with supporting documentation on how the foreign worker trains and develops local workers as his successor;\
4. submit the training manual for conducting training for local workers;\
5. submit the evaluation method of the local workers who attended \
training program;\
6.submit the list of local workers who successfully completed the training.\
"
Rejected,6 years will exceed on 13-Feb-2024. Please hire a local employee.
Rejected,The expatriate has been working since 2017. The company shall replace the expatriate with locals.
Rejected,The expatriate has been working since 2017. The company shall replace the expatriate by locals.
Rejected,"A. Last time the work permit was extended with the remark-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. \
B. kindly replace the post with local HR. Hence, the applciation has been rejected"
Rejected,"1.In previous company Total salary was USD 4000 and now the company want to give USD 2000\
2.The company has submitted an explanation in doc 13 regarding the less salary than earlier; now the case is forwarded for kind decision"
Rejected,"the company's business profile is not good. Hence, the VOA application may be rejected"
Rejected,"the company's business profile is not good. Hence, the VOA application may be rejected"
Rejected,Rationale is not satisfactory.
Rejected,"After the previous shortfall, they uploaded docs 9 & 10. Please see doc 10 and give your kind decision"
Rejected,Did not uplaod the BIDA-approved Director list. From XII endorsed by RJSC on April 2016.Uploaded docs 12 & 13 and resubmitted the application
Rejected,5 years already exceed on 20-Dec-2022. kindly cancel the work permit and replace the post by a local employee
Rejected,1.The company has submitted an explanation in doc 12 regarding the necessity of this foreign employee; now the case is forwarded for kind decision
Rejected,"In your bank statement, you did not mark any outward transaction (family resistance transaction), and we did not find any outward transaction. Please respond specifically to the previous observation. If you are not clear regarding the previous observation, kindly discuss it over the phone and then resubmit the application correctly."
Rejected,Local manpower 44; expatriate 14. Please hire a local employee
Rejected,6 years exceed 22-Jun-2023. Uploaded a request letter for the extension of the work permit.May be approved for 1 year for the last time
Rejected,"1. Please upload the copy of the passport (each of the pages have to upload chronologically, mark with the latest E visa seals, latest arrival seal, final departure seal & exit visa seal under the work permit)\
 2. Late application, as per the condition of the work permit the employer has to be notified to BIDA within 7 days after the departure of the expatriate. Please explain the causes of the late application with the proper documents. \
3. Please ensure the up-to-date income tax clearance certificate under section-91 of Income Tax ordinance 1984 up to the last departure date.\
"
Rejected,The company has submitted an explanation in doc 13 regarding the necessity of the further extension of work permit; now the case is forwarded for kind decision
Rejected,Not enough technical post to recruit from abroad
Rejected,"1. Sir, In the E visa recommendation, they provided misinformation (they mentioned that the expatriate never visited Bangladesh and uploaded blank pages of the passport).\
2. The last shortfall was- {1, kindly also upload the previous work permit cancelation letter and related documents. 2. Please upload all pages from the visa conversion letter (clear copy ) 3. If you are not clear, kindly discuss this over the phone before  resubmit the application.}\
3. As per the uploaded passport, the expatriate earlier worked in Bangladesh under the E visa ( received two times E visa). Now they have uploaded the docs 8 & 9\
4. The application may be rejected, or you can give any decision.\
 "
Rejected,"The organization shall explain the reasons of paying  the salary  abroad. Also, it shall submit:\
a.  a copy of the contract of the project;\
b.  a copy of the order issued by the competent authority exempting the income tax of the expatriate (if any).\
c.  tax return certificate of the expatriate. \
"
Rejected,you wrongly submitted the application for PROPERTY DEVELOPMENT LTD with the document of RANGPUR METAL INDUSTRIES LTD.Hance the application has been rejected.
Rejected,you wrongly submitted the application for PROPERTY DEVELOPMENT LTD with the document of RANGPUR METAL INDUSTRIES LTD.Hance the application has been rejected.
Rejected,The application has been rejected due to the expatriate illegally staying a long time in Bangladesh. 
Rejected,"They want to change the designation to a lower position and reduce the salary (arround 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,"They want to change the designation to a lower position and reduce the salary (around 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,"They want to change the designation to a lower position and reduce the salary (around 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,"They want to change the designation to a lower position and reduce the salary (around 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,"They want to change the designation to a lower position and reduce the salary (around 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,"They want to change the designation to a lower position and reduce the salary (around 50%). Regarding the issue, they uploaded doc 4. Please see doc 4 and give your kind decision. "
Rejected,The expatriate worked in Bangladesh illegally up to 2023. Hence the application has been rejected
Rejected,"When you last resubmitted the application, you removed the encashment certificates. Please upload the encashment certificates and follow the previous shortfall properlyy and then resubmit the application"
Rejected,This type of engineer is available in Bangladesh. Please recruit locally.
